secs,km,power,hr,cad,alt,cyclist_id,file_name
204,1.5797,296.0,125,94,262.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
205,1.5873,46.0,126,53,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
206,1.5949,101.0,127,91,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
207,1.6025,126.0,127,90,262.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
208,1.61,124.0,129,90,262.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
209,1.6174,117.0,129,90,262.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
210,1.6249,115.0,129,89,262.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
211,1.6323,100.0,130,89,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
212,1.6398,100.0,130,89,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
213,1.6473,97.0,130,89,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
214,1.6546,79.0,130,89,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
215,1.6623,111.0,129,88,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
216,1.67,97.0,129,68,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
217,1.6778,164.0,129,68,263.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
218,1.6857,164.0,129,64,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
219,1.6936,64.0,129,65,263.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
220,1.7017,71.0,128,66,263.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
221,1.7101,55.0,128,67,263.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
222,1.7186,65.0,128,67,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
223,1.7274,65.0,127,69,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
224,1.7364,91.0,127,72,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
225,1.7456,86.0,127,72,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
226,1.7551,86.0,126,75,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
227,1.7647,60.0,126,77,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
228,1.7745,57.0,126,78,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
229,1.7844,60.0,126,80,263.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
230,1.7944,47.0,126,80,263.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
231,1.8045,47.0,126,82,263.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
232,1.8147,53.0,125,83,262.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
233,1.825,56.0,124,84,262.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
234,1.8354,59.0,124,84,262.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
235,1.8459,64.0,123,85,261.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
236,1.8565,76.0,123,86,261.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
237,1.8671,59.0,122,86,261.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
238,1.8779,75.0,122,87,260.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
239,1.8885,115.0,121,88,260.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
240,1.8993,99.0,121,88,260.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
241,1.9101,92.0,120,88,259.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
242,1.9208,95.0,120,88,259.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
243,1.9315,87.0,120,88,258.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
244,1.9419,81.0,120,87,258.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
245,1.9523,75.0,119,86,257.8,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
246,1.9626,82.0,119,85,257.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
247,1.9728,92.0,118,85,257.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
248,1.983,92.0,117,84,256.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
249,1.9931,171.0,116,84,256.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
250,2.003,113.0,115,83,255.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
251,2.0127,55.0,113,82,255.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
252,2.0224,68.0,113,92,254.6,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
253,2.0318,93.0,112,90,254.4,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
254,2.0412,90.0,113,88,254.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
255,2.0504,78.0,113,87,254.2,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
256,2.0594,74.0,113,86,254.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
257,2.0685,186.0,113,86,254.0,00b08a80-d090-4b05-9d7b-3d8f95c7159b,2018_05_29_12_15_06.csv
