cyclist_id,file_name,total_time_sec,total_dist_km,avg_power,avg_alt,v_index
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_26_13_48_06.csv,12744.0,96.8621,191.593,430.262,1.213
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_29_17_31_42.csv,3604.0,32.0124,230.148,132.242,1.111
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_09_30_13_08_48.csv,6295.0,53.1167,215.511,132.579,1.078
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_01_16_44_53.csv,3946.0,34.5946,230.25,97.329,1.075
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_02_16_41_12.csv,5573.0,48.7004,229.812,64.346,1.107
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_03_13_54_18.csv,6642.0,56.2502,212.666,78.576,1.083
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_05_12_43_30.csv,6537.0,57.7116,230.097,69.414,1.081
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_06_13_22_28.csv,5593.0,45.8325,206.641,6.127,1.067
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_10_13_24_28.csv,7597.0,68.1877,244.682,152.858,1.06
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_14_11_26_18.csv,5625.0,46.8824,211.999,99.105,1.065
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_18_12_34_54.csv,6261.0,53.4925,224.525,56.213,1.072
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_20_15_24_17.csv,5106.0,45.8103,238.212,127.339,1.078
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_22_13_04_52.csv,6379.0,56.1028,228.768,178.279,1.075
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_10_24_13_41_40.csv,5812.0,52.3174,233.997,67.931,1.071
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_11_14_38_22.csv,5961.0,48.6577,208.143,-20.912,1.056
00b8b415-0abd-42d6-ac3e-0d122ba63fc3,2013_11_13_13_52_55.csv,6914.0,56.2801,210.147,-43.869,1.048
